Model,Accuracy,Precision,Recall,F1,AUC,Average Precision
Solo LightGBM GOSS,0.752306600425834,0.5218150087260035,0.7994652406417112,0.6314677930306231,0.8485029321346458,0.6609900608184229
Solo LightGBM GBDT,0.7196593328601846,0.48406676783004554,0.8529411764705882,0.6176185866408519,0.8454971712004958,0.6592340692485057
Solo XGB Dart,0.7466288147622427,0.5143824027072758,0.8128342245989305,0.6300518134715026,0.844848743186339,0.6545634756507349
Solo XGB GBTree,0.7480482611781405,0.5161290322580645,0.8128342245989305,0.6313603322949117,0.8449804954920045,0.656039028457422
Base Blender,0.751596877217885,0.5209059233449478,0.7994652406417112,0.630801687763713,0.8484964736882895,0.6611093296036924
LR Blender(manual),0.7537260468417317,0.5240641711229946,0.786096256684492,0.6288770053475936,0.848966648583017,0.6618164985420896
LR Stack Classifier,0.7480482611781405,0.5162393162393163,0.8074866310160428,0.629822732012513,0.846197266785502,0.6571579424878917
Neural Net Blender,0.7998580553584103,0.6270718232044199,0.606951871657754,0.6168478260869565,0.8442674830142859,0.6574732537055292
Calibrated Classifier,0.7771469127040455,0.56,0.7486631016042781,0.6407322654462243,0.8488284378309955,0.6548092735882789
